old_name,new_name,tooltip,field_type,page_index,rect_llx,rect_lly,rect_urx,rect_ury
f2_28[0],box14_other,Box 14: Other,/Tx,3,332.2,504.0,452.6,551.999
f2_28[0],box14_other,Box 14: Other,/Tx,5,332.2,504.0,452.6,551.999
f2_28[0],box14_other,Box 14: Other,/Tx,7,332.2,504.0,452.6,551.999
f2_28[0],box14_other,Box 14: Other,/Tx,9,332.2,504.0,452.6,551.999
f2_29[0],box15_state_1,Box 15 (1): State,/Tx,2,38.0,480.002,63.8,492.001
f2_29[0],box15_state_1,Box 15 (1): State,/Tx,3,38.0,480.002,63.8,492.001
f2_29[0],box15_state_1,Box 15 (1): State,/Tx,5,38.0,480.002,63.8,492.001
f2_29[0],box15_state_1,Box 15 (1): State,/Tx,7,38.0,480.002,63.8,492.001
f2_29[0],box15_state_1,Box 15 (1): State,/Tx,9,38.0,480.002,63.8,492.001
f2_30[0],box15_employer_state_id_1,Box 15 (1): Employer’s state ID number,/Tx,2,65.8,480.002,193.4,492.001
f2_30[0],box15_employer_state_id_1,Box 15 (1): Employer’s state ID number,/Tx,3,65.8,480.002,193.4,492.001
f2_30[0],box15_employer_state_id_1,Box 15 (1): Employer’s state ID number,/Tx,5,65.8,480.002,193.4,492.001
f2_30[0],box15_employer_state_id_1,Box 15 (1): Employer’s state ID number,/Tx,7,65.8,480.002,193.4,492.001
f2_30[0],box15_employer_state_id_1,Box 15 (1): Employer’s state ID number,/Tx,9,65.8,480.002,193.4,492.001
f2_31[0],box15_state_2,Box 15 (2): State,/Tx,2,38.0,455.998,63.8,467.999
f2_31[0],box15_state_2,Box 15 (2): State,/Tx,3,38.0,455.998,63.8,467.999
f2_31[0],box15_state_2,Box 15 (2): State,/Tx,5,38.0,455.998,63.8,467.999
f2_31[0],box15_state_2,Box 15 (2): State,/Tx,7,38.0,455.998,63.8,467.999
f2_31[0],box15_state_2,Box 15 (2): State,/Tx,9,38.0,455.998,63.8,467.999
f2_32[0],box15_employer_state_id_2,Box 15 (2): Employer’s state ID number,/Tx,2,65.8,456.001,193.4,468.0
f2_32[0],box15_employer_state_id_2,Box 15 (2): Employer’s state ID number,/Tx,3,65.8,456.001,193.4,468.0
f2_32[0],box15_employer_state_id_2,Box 15 (2): Employer’s state ID number,/Tx,5,65.8,456.001,193.4,468.0
f2_32[0],box15_employer_state_id_2,Box 15 (2): Employer’s state ID number,/Tx,7,65.8,456.001,193.4,468.0
f2_32[0],box15_employer_state_id_2,Box 15 (2): Employer’s state ID number,/Tx,9,65.8,456.001,193.4,468.0
f2_33[0],box16_state_wages_1,"Box 16 (1): State wages, tips, etc.",/Tx,2,195.4,480.002,279.8,492.001
f2_33[0],box16_state_wages_1,"Box 16 (1): State wages, tips, etc.",/Tx,3,195.4,480.002,279.8,492.001
f2_33[0],box16_state_wages_1,"Box 16 (1): State wages, tips, etc.",/Tx,5,195.4,480.002,279.8,492.001
f2_33[0],box16_state_wages_1,"Box 16 (1): State wages, tips, etc.",/Tx,7,195.4,480.002,279.8,492.001
f2_33[0],box16_state_wages_1,"Box 16 (1): State wages, tips, etc.",/Tx,9,195.4,480.002,279.8,492.001
f2_34[0],box16_state_wages_2,"Box 16 (2): State wages, tips, etc.",/Tx,2,195.4,455.998,279.8,467.999
f2_34[0],box16_state_wages_2,"Box 16 (2): State wages, tips, etc.",/Tx,3,195.4,455.998,279.8,467.999
f2_34[0],box16_state_wages_2,"Box 16 (2): State wages, tips, etc.",/Tx,5,195.4,455.998,279.8,467.999
f2_34[0],box16_state_wages_2,"Box 16 (2): State wages, tips, etc.",/Tx,7,195.4,455.998,279.8,467.999
f2_34[0],box16_state_wages_2,"Box 16 (2): State wages, tips, etc.",/Tx,9,195.4,455.998,279.8,467.999
f2_35[0],box17_state_income_tax_1,Box 17 (1): State income tax,/Tx,2,281.8,480.002,359.0,492.001
f2_35[0],box17_state_income_tax_1,Box 17 (1): State income tax,/Tx,3,281.8,480.002,359.0,492.001
f2_35[0],box17_state_income_tax_1,Box 17 (1): State income tax,/Tx,5,281.8,480.002,359.0,492.001
f2_35[0],box17_state_income_tax_1,Box 17 (1): State income tax,/Tx,7,281.8,480.002,359.0,492.001
f2_35[0],box17_state_income_tax_1,Box 17 (1): State income tax,/Tx,9,281.8,480.002,359.0,492.001
f2_36[0],box17_state_income_tax_2,Box 17 (2): State income tax,/Tx,2,281.8,455.998,359.0,467.999
f2_36[0],box17_state_income_tax_2,Box 17 (2): State income tax,/Tx,3,281.8,455.998,359.0,467.999
f2_36[0],box17_state_income_tax_2,Box 17 (2): State income tax,/Tx,5,281.8,455.998,359.0,467.999
f2_36[0],box17_state_income_tax_2,Box 17 (2): State income tax,/Tx,7,281.8,455.998,359.0,467.999
f2_36[0],box17_state_income_tax_2,Box 17 (2): State income tax,/Tx,9,281.8,455.998,359.0,467.999
f2_37[0],box18_local_wages_1,"Box 18 (1): Local wages, tips, etc.",/Tx,2,361.0,480.002,445.4,492.001
f2_37[0],box18_local_wages_1,"Box 18 (1): Local wages, tips, etc.",/Tx,3,361.0,480.002,445.4,492.001
f2_37[0],box18_local_wages_1,"Box 18 (1): Local wages, tips, etc.",/Tx,5,361.0,480.002,445.4,492.001
f2_37[0],box18_local_wages_1,"Box 18 (1): Local wages, tips, etc.",/Tx,7,361.0,480.002,445.4,492.001
f2_37[0],box18_local_wages_1,"Box 18 (1): Local wages, tips, etc.",/Tx,9,361.0,480.002,445.4,492.001
f2_38[0],box18_local_wages_2,"Box 18 (2): Local wages, tips, etc.",/Tx,2,361.0,455.998,445.4,467.999
f2_38[0],box18_local_wages_2,"Box 18 (2): Local wages, tips, etc.",/Tx,3,361.0,455.998,445.4,467.999
f2_38[0],box18_local_wages_2,"Box 18 (2): Local wages, tips, etc.",/Tx,5,361.0,455.998,445.4,467.999
f2_38[0],box18_local_wages_2,"Box 18 (2): Local wages, tips, etc.",/Tx,7,361.0,455.998,445.4,467.999
f2_38[0],box18_local_wages_2,"Box 18 (2): Local wages, tips, etc.",/Tx,9,361.0,455.998,445.4,467.999
f2_39[0],box19_local_income_tax_1,Box 19 (1): Local income tax,/Tx,2,447.4,480.002,524.6,492.001
f2_39[0],box19_local_income_tax_1,Box 19 (1): Local income tax,/Tx,3,447.4,480.002,524.6,492.001
f2_39[0],box19_local_income_tax_1,Box 19 (1): Local income tax,/Tx,5,447.4,480.002,524.6,492.001
f2_39[0],box19_local_income_tax_1,Box 19 (1): Local income tax,/Tx,7,447.4,480.002,524.6,492.001
f2_39[0],box19_local_income_tax_1,Box 19 (1): Local income tax,/Tx,9,447.4,480.002,524.6,492.001
f2_40[0],box19_local_income_tax_2,Box 19 (2): Local income tax,/Tx,2,447.4,455.998,524.6,467.999
f2_40[0],box19_local_income_tax_2,Box 19 (2): Local income tax,/Tx,3,447.4,455.998,524.6,467.999
f2_40[0],box19_local_income_tax_2,Box 19 (2): Local income tax,/Tx,5,447.4,455.998,524.6,467.999
f2_40[0],box19_local_income_tax_2,Box 19 (2): Local income tax,/Tx,7,447.4,455.998,524.6,467.999
f2_40[0],box19_local_income_tax_2,Box 19 (2): Local income tax,/Tx,9,447.4,455.998,524.6,467.999
f2_41[0],box20_locality_name_1,Box 20 (1): Locality name,/Tx,2,526.6,480.002,574.0,492.001
f2_41[0],box20_locality_name_1,Box 20 (1): Locality name,/Tx,3,526.6,480.002,574.0,492.001
f2_41[0],box20_locality_name_1,Box 20 (1): Locality name,/Tx,5,526.6,480.002,574.0,492.001
f2_41[0],box20_locality_name_1,Box 20 (1): Locality name,/Tx,7,526.6,480.002,575.0,492.001
f2_41[0],box20_locality_name_1,Box 20 (1): Locality name,/Tx,9,526.6,480.002,574.0,492.001
f2_42[0],box20_locality_name_2,Box 20 (2): Locality name,/Tx,2,526.6,455.998,574.0,467.999
f2_42[0],box20_locality_name_2,Box 20 (2): Locality name,/Tx,3,526.6,455.998,574.0,467.999
f2_42[0],box20_locality_name_2,Box 20 (2): Locality name,/Tx,5,526.6,455.998,574.0,467.999
f2_42[0],box20_locality_name_2,Box 20 (2): Locality name,/Tx,7,526.6,455.998,575.0,467.999
f2_42[0],box20_locality_name_2,Box 20 (2): Locality name,/Tx,9,526.6,455.998,574.0,467.999
c2_1[0],void,Void,/Btn,9,132.481,739.999,142.481,749.999
